Tweet,Sentiment
Find out what Shayan and Rachel had to say about social media metrics small businesses should pay attention to star https://t.co/jrMCn0krX9,neutral
"Hot topic from our latest #BMOConnect: as a small business owner, what social media metric best indicates success for you?",neutral
