Tweet,Sentiment
"@tedlieu @FLOTUS @realDonaldTrump Be Best trump Be Best!
You obviously dont believe in you wifes plan.  Failure!! https://t.co/abhCczl8hR",positive
@CSmithengton @The_Trump_Train @realDonaldTrump Take A hike stupid one. Youre a little spider spun his own web his https://t.co/hcnaxWMbcc,negative
"@bighomey37 @Ravindr36045997 @hukamahedi @realDonaldTrump @sandinharry So, a black president shouldn't be criticize https://t.co/ZNoYmzqX1f",neutral
Must watch: Chris Hayes on 'despicable' new Trump policy https://t.co/y3Sx6REpHn via @msnbc,neutral
"Get Brand New Samsung Galaxy s9 for Free today
#news #liverpool #trump #breaking #video #today #marketing https://t.co/cAFqcBJw79",neutral
